activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,105380,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CC4)CC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '16.44', 'le': '0.34', 'lle': '0.80', 'sei': '25.18'}",CHEMBL96565,,CHEMBL96565,8.96,True,http://www.openphacts.org/units/Nanomolar,174916,=,1,True,=,,IC50,nM,,1.1,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,1.1
,106518,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '16.81', 'le': '0.35', 'lle': '0.85', 'sei': '26.41'}",CHEMBL419140,,CHEMBL419140,9.40,True,http://www.openphacts.org/units/Nanomolar,174913,=,1,True,=,,IC50,nM,,0.4,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,0.4
,107707,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc(-c2ccc(C)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '16.67', 'le': '0.33', 'lle': '1.24', 'sei': '12.55'}",CHEMBL97579,,CHEMBL97579,7.36,True,http://www.openphacts.org/units/Nanomolar,174923,=,1,True,=,,IC50,nM,,44.0,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,44.0
,107708,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccccc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '18.58', 'le': '0.39', 'lle': '1.91', 'sei': '20.39'}",CHEMBL96763,,CHEMBL96763,9.05,True,http://www.openphacts.org/units/Nanomolar,174933,=,1,True,=,,IC50,nM,,0.9,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,0.9
,108802,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2ccc(F)cc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '18.87', 'le': '0.40', 'lle': '1.70', 'sei': '20.50'}",CHEMBL94770,,CHEMBL94770,8.52,True,http://www.openphacts.org/units/Nanomolar,174936,=,1,True,=,,IC50,nM,,3.0,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,3.0
,111583,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '17.60', 'le': '0.36', 'lle': '2.06', 'sei': '13.91'}",CHEMBL94547,,CHEMBL94547,8.15,True,http://www.openphacts.org/units/Nanomolar,174922,=,1,True,=,,IC50,nM,,7.0,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,7.0
,112995,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccccc3Cl)cc(NC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '18.53', 'le': '0.38', 'lle': '2.46', 'sei': '16.49'}",CHEMBL327987,,CHEMBL327987,9.30,True,http://www.openphacts.org/units/Nanomolar,174906,=,1,True,=,,IC50,nM,,0.5,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,0.5
,114288,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc(-c2ccc(Cl)cc2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '15.87', 'le': '0.33', 'lle': '0.87', 'sei': '12.50'}",CHEMBL330358,,CHEMBL330358,7.33,True,http://www.openphacts.org/units/Nanomolar,174929,=,1,True,=,,IC50,nM,,47.0,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,47.0
,115404,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc(-c2cccc(C(F)(F)F)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '13.67', 'le': '0.28', 'lle': '-0.06', 'sei': '11.54'}",CHEMBL328752,,CHEMBL328752,6.77,True,http://www.openphacts.org/units/Nanomolar,174927,=,1,True,=,,IC50,nM,,170.0,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,170.0
,118054,[],CHEMBL734090,Inhibitory activity against mitogen-activated protein kinase p38 alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '19.81', 'le': '0.41', 'lle': '2.72', 'sei': '22.54'}",CHEMBL328614,,CHEMBL328614,10.00,True,http://www.openphacts.org/units/Nanomolar,174931,=,1,True,=,,IC50,nM,,0.1,CHEMBL260,Homo sapiens,MAP kinase p38 alpha,9606,,,IC50,nM,UO_0000065,,0.1
