"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"1",8.95860731484178,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,18,0,0,9,15,3
"2",9.39794000867204,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,18,3,0,9,14,3
"3",7.35654732351381,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,18,0,0,9,5,3
"4",9.04575749056068,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,18,0,0,8,10,2
"5",8.52287874528034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,18,0,0,8,4,2
"6",8.15490195998574,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,18,0,0,9,4,3
"7",9.30102999566398,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,18,0,0,10,11,3
"8",7.32790214206428,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,18,0,0,9,4,3
"9",6.76955107862173,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,18,0,1,9,4,4
"10",10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,18,0,0,8,10,2
"11",9.88605664769316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,18,0,0,11,11,3
"12",7.35654732351381,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,18,0,0,9,4,3
"13",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,18,0,0,11,11,3
"14",7.95860731484178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,18,0,0,11,9,2
