standatd,pIC50
1.1,8.958607315
0.4,9.397940009
44,7.356547324
0.9,9.045757491
3,8.522878745
7,8.15490196
0.5,9.301029996
47,7.327902142
170,6.769551079
0.1,10
0.13,9.886056648
44,7.356547324
0.1,10
11,7.958607315
2.6,8.585026652
7,8.15490196
1.1,8.958607315
0.5,9.301029996
0.6,9.22184875
11,7.958607315
320,6.494850022
0.2,9.698970004
2.4,8.619788758
0.5,9.301029996
11,7.958607315
0.2,9.698970004
0.6,9.22184875
6,8.22184875
0.6,9.22184875
1,9
1.2,8.920818754
79,7.102372909
130,6.886056648
22,7.657577319
1.4,8.853871964
0.3,9.522878745
0.2,9.698970004
30,7.522878745
67,7.173925197
1.5,8.823908741
0.1,10
515,6.288192771
96,7.017728767
36,7.443697499
110,6.958607315
47,7.327902142
48,7.318758763
66,7.180456064
80,7.096910013
54,7.26760624
180,6.744727495
200,6.698970004
32,7.494850022
600,6.22184875
260,6.585026652
100,7
340,6.468521083
80,7.096910013
9,8.045757491
110,6.958607315
38,7.420216403
25,7.602059991
450,6.346787486
23,7.638272164
30,7.522878745
69,7.161150909
113,6.946921557
120,6.920818754
230,6.638272164
350,6.455931956
49,7.30980392
16,7.795880017
270,6.568636236
170,6.769551079
100,7
390,6.408935393
33,7.48148606
19,7.721246399
230,6.638272164
610,6.214670165
18,7.744727495
27,7.568636236
1.5,8.823908741
480,6.318758763
45,7.346787486
12,7.920818754
3,8.522878745
42,7.37675071
1.4,8.853871964
83,7.080921908
8.5,8.070581074
20,7.698970004
86,7.065501549
53,7.27572413
34,7.468521083
170,6.769551079
20,7.698970004
160,6.795880017
53,7.27572413
58,7.236572006
9.6,8.017728767
79,7.102372909
145,6.838631998
5,8.301029996
437,6.359518563
574,6.241088108
7,8.15490196
12,7.920818754
29,7.537602002
143,6.844663963
4,8.397940009
39,7.408935393
38,7.420216403
811,6.090979146
10,8
29,7.537602002
193,6.714442691
101,6.995678626
63,7.200659451
54,7.26760624
13,7.886056648
21,7.677780705
42,7.37675071
139,6.8569852
68,7.167491087
24,7.619788758
185,6.732828272
217,6.663540266
5,8.301029996
172,6.764471553
98,7.008773924
895,6.048176965
1,9
3,8.522878745
53,7.27572413
1,9
400,6.397940009
6.5,8.187086643
86,7.065501549
21,7.677780705
3,8.522878745
58,7.236572006
370,6.431798276
120,6.920818754
120,6.920818754
120,6.920818754
920,6.036212173
260,6.585026652
