,hv,std.error,Label,,,,,,,,,,
1,0.000928653,-0.827032388,Internal,,,,,,,,,,
2,0.002272536,0.115219686,Internal,,,,,,,,,,
3,0.000812889,-1.187389939,Internal,,,,,,,,,,
4,0.000973076,0.091044626,Internal,,,,,,,,,,
5,0.000993497,-0.856581791,Internal,,,,,,,,,,
6,0.001187329,0.670577276,Internal,,,USE the Sort fuction to get Componds,,,,,,,
7,0.000916687,1.54376467,Internal,,,,,,,,,,
8,0.002603926,1.111536542,Internal,,,,,,,,,,
9,0.001697867,0.414408982,Internal,,,,,,,,,,
10,0.0006409,-0.522318641,Internal,,,,,,,,,,
11,0.000478213,-0.573962215,Internal,,,,,,,,,,
12,0.000758348,0.007725121,Internal,,,,,,,,,,
13,0.000651527,0.162142628,Internal,,,,,,,,,,
14,0.000799429,-1.291871542,Internal,,,,plus 3,,,,,Negative 3,
15,0.000731681,1.432995894,Internal,,,CHEMBL278275,,Internal,,,CHEMBL1232751,2137,Internal
16,0.000484715,-0.890685194,Internal,,,CHEMBL493671,,Internal,,,CHEMBL1254831,1225,Internal
17,0.000468121,0.03647102,Internal,,,CHEMBL558448,,Internal,,,CHEMBL1254989,1197,Internal
18,0.002272536,1.260252507,Internal,,,CHEMBL1911335,,Internal,,,CHEMBL1272270,2163,Internal
19,0.000648793,0.412131264,Internal,,,CHEMBL3652535,,External,,,CHEMBL1911335,1443,Internal
20,0.000457461,0.274333859,Internal,,,CHEMBL3953685,,External,,,CHEMBL2177219,2138,External
21,0.001087677,0.46776234,Internal,,,CHEMBL3891402,,External,,,CHEMBL270812,761,External
22,0.000524262,-0.557090865,Internal,,,CHEMBL3960541,,External,,,CHEMBL273611,269,External
23,0.004161268,0.838538396,Internal,,,CHEMBL3910819,,External,,,CHEMBL278275,209,External
24,0.000651527,-0.635801092,Internal,,,CHEMBL4082939,,External,,,CHEMBL340377,66,External
25,0.000682144,-0.068885855,Internal,,,CHEMBL4228109,,External,,,CHEMBL3652535,1846,External
26,0.00049689,-0.088932745,Internal,,,CHEMBL4227689,,External,,,,,
27,0.00073831,0.194698229,Internal,,,CHEMBL4535046,,External,,,,,
28,0.000459338,-0.415260069,Internal,,,CHEMBL1232751,,External,,,,,
29,0.001087677,0.351027927,Internal,,,CHEMBL2177219,,External,,,,,
30,0.000574039,-0.224893448,Internal,,,CHEMBL4454724,,External,,,,,
31,0.000461482,1.667383369,Internal,,,CHEMBL1272270,,External,,,,,
32,0.000528615,-0.719962177,Internal,,,CHEMBL4436748,,External,,,,,
33,0.000605366,-0.46649765,Internal,,,,,,,,,,
