,R2,Q2,Label,,R2,Q2,Label
1,0.0021,0.00024,Fake,51,0.83262,0.64564,Real
2,0.00207,0.00052,Fake,52,0.83262,0.64564,Real
3,3.00E-05,0.00191,Fake,53,0.83262,0.64564,Real
4,0.00142,0.00037,Fake,54,0.83262,0.64564,Real
5,0.00114,0.00324,Fake,55,0.83262,0.64564,Real
6,0.02227,0.00017,Fake,56,0.83262,0.64564,Real
7,1.00E-04,0.00156,Fake,57,0.83262,0.64564,Real
8,0.00257,0.00104,Fake,58,0.83262,0.64564,Real
9,0,0.00035,Fake,59,0.83262,0.64564,Real
10,0.00206,0.00026,Fake,60,0.83262,0.64564,Real
11,0.00077,0.00514,Fake,61,0.83262,0.64564,Real
12,0.00044,0.00228,Fake,62,0.83262,0.64564,Real
13,7.00E-05,0.00057,Fake,63,0.83262,0.64564,Real
14,0.00108,8.00E-05,Fake,64,0.83262,0.64564,Real
15,4.00E-05,0.00071,Fake,65,0.83262,0.64564,Real
16,2.00E-05,7.00E-04,Fake,66,0.83262,0.64564,Real
17,0,0.00252,Fake,67,0.83262,0.64564,Real
18,0.00198,6.00E-05,Fake,68,0.83262,0.64564,Real
19,0.00061,0.00049,Fake,69,0.83262,0.64564,Real
20,0.0011,1.00E-05,Fake,70,0.83262,0.64564,Real
21,0.00356,0.00262,Fake,71,0.83262,0.64564,Real
22,0.00127,1.00E-05,Fake,72,0.83262,0.64564,Real
23,2.00E-05,0.00021,Fake,73,0.83262,0.64564,Real
24,0.00162,0.00109,Fake,74,0.83262,0.64564,Real
25,1.00E-05,0.00099,Fake,75,0.83262,0.64564,Real
26,0.00033,5.00E-04,Fake,76,0.83262,0.64564,Real
27,0.00053,0.00638,Fake,77,0.83262,0.64564,Real
28,0.00129,0.00056,Fake,78,0.83262,0.64564,Real
29,0.00255,0.00014,Fake,79,0.83262,0.64564,Real
30,0.00045,0.00126,Fake,80,0.83262,0.64564,Real
31,1.00E-04,7.00E-04,Fake,81,0.83262,0.64564,Real
32,0.00595,0.00125,Fake,82,0.83262,0.64564,Real
33,0,0.00236,Fake,83,0.83262,0.64564,Real
34,0.00173,0,Fake,84,0.83262,0.64564,Real
35,8.00E-04,0.00021,Fake,85,0.83262,0.64564,Real
36,0.00058,3.00E-05,Fake,86,0.83262,0.64564,Real
37,0.00062,0.0039,Fake,87,0.83262,0.64564,Real
38,0.00037,0.00044,Fake,88,0.83262,0.64564,Real
39,0.00019,0.00141,Fake,89,0.83262,0.64564,Real
40,0.00742,0.00378,Fake,90,0.83262,0.64564,Real
41,0.00017,3.00E-05,Fake,91,0.83262,0.64564,Real
42,7.00E-05,0.00018,Fake,92,0.83262,0.64564,Real
43,0.00124,0.0095,Fake,93,0.83262,0.64564,Real
44,0.00296,0.00037,Fake,94,0.83262,0.64564,Real
45,0.00054,0.00145,Fake,95,0.83262,0.64564,Real
46,0.00015,0.00103,Fake,96,0.83262,0.64564,Real
47,0.01011,0.00516,Fake,97,0.83262,0.64564,Real
48,4.00E-05,0.00011,Fake,98,0.83262,0.64564,Real
49,0.00017,0.00137,Fake,99,0.83262,0.64564,Real
50,0.00267,0.00153,Fake,100,0.83262,0.64564,Real
