,R2,Q2,Label,,R2,Q2,Label
1,0.00063,0.00025,Fake,51,0.93325,0.75232,Real
2,0.00289,0.00128,Fake,52,0.93325,0.75232,Real
3,0.00035,0.00178,Fake,53,0.93325,0.75232,Real
4,1.00E-05,0.00015,Fake,54,0.93325,0.75232,Real
5,0.00029,0.00016,Fake,55,0.93325,0.75232,Real
6,0.00077,0.00106,Fake,56,0.93325,0.75232,Real
7,7.00E-05,0.00063,Fake,57,0.93325,0.75232,Real
8,0.00028,0.0019,Fake,58,0.93325,0.75232,Real
9,0.00197,0.00188,Fake,59,0.93325,0.75232,Real
10,0.00016,0.0037,Fake,60,0.93325,0.75232,Real
11,0.00051,0.0028,Fake,61,0.93325,0.75232,Real
12,0.00018,0.00233,Fake,62,0.93325,0.75232,Real
13,9.00E-05,0.00129,Fake,63,0.93325,0.75232,Real
14,0.00121,0,Fake,64,0.93325,0.75232,Real
15,3.00E-05,0.00103,Fake,65,0.93325,0.75232,Real
16,0.00167,0.00092,Fake,66,0.93325,0.75232,Real
17,1.00E-05,0.00069,Fake,67,0.93325,0.75232,Real
18,4.00E-05,0.00038,Fake,68,0.93325,0.75232,Real
19,0.01256,0.00069,Fake,69,0.93325,0.75232,Real
20,0.00328,0.00188,Fake,70,0.93325,0.75232,Real
21,0.00061,0.00074,Fake,71,0.93325,0.75232,Real
22,0.00369,0.00077,Fake,72,0.93325,0.75232,Real
23,0.00357,2.00E-05,Fake,73,0.93325,0.75232,Real
24,0.00014,6.00E-05,Fake,74,0.93325,0.75232,Real
25,0.00104,0.00049,Fake,75,0.93325,0.75232,Real
26,3.00E-05,0.00121,Fake,76,0.93325,0.75232,Real
27,0.00062,0.00141,Fake,77,0.93325,0.75232,Real
28,7.00E-05,0.00051,Fake,78,0.93325,0.75232,Real
29,0.00066,0.00012,Fake,79,0.93325,0.75232,Real
30,0.00024,0.00346,Fake,80,0.93325,0.75232,Real
31,4.00E-04,0.00389,Fake,81,0.93325,0.75232,Real
32,0.00011,0.00259,Fake,82,0.93325,0.75232,Real
33,0.00044,0.00112,Fake,83,0.93325,0.75232,Real
34,0.00101,0.00107,Fake,84,0.93325,0.75232,Real
35,0.00926,0.00045,Fake,85,0.93325,0.75232,Real
36,0.00061,2.00E-05,Fake,86,0.93325,0.75232,Real
37,0.00274,8.00E-05,Fake,87,0.93325,0.75232,Real
38,0.00022,8.00E-04,Fake,88,0.93325,0.75232,Real
39,0.00032,0.00049,Fake,89,0.93325,0.75232,Real
40,0.00037,2.00E-04,Fake,90,0.93325,0.75232,Real
41,0.00069,0.00476,Fake,91,0.93325,0.75232,Real
42,1.00E-04,0.00032,Fake,92,0.93325,0.75232,Real
43,0.00506,0.00204,Fake,93,0.93325,0.75232,Real
44,0.00058,0.00159,Fake,94,0.93325,0.75232,Real
45,2.00E-05,0.00125,Fake,95,0.93325,0.75232,Real
46,0.00014,0.00075,Fake,96,0.93325,0.75232,Real
47,3.00E-04,0,Fake,97,0.93325,0.75232,Real
48,0.00019,0.00238,Fake,98,0.93325,0.75232,Real
49,0.00581,1.00E-04,Fake,99,0.93325,0.75232,Real
50,0.00135,2.00E-04,Fake,100,0.93325,0.75232,Real
