,R2,Q2,Label,,,R2,Q2,Label
1,0.00211,0.00049,Fake,,51,0.67822,0.54339,Real
2,0.00024,1.00E-05,Fake,,52,0.67822,0.54339,Real
3,0.01017,0.00231,Fake,,53,0.67822,0.54339,Real
4,0.00283,0.00322,Fake,,54,0.67822,0.54339,Real
5,0.00161,0.00226,Fake,,55,0.67822,0.54339,Real
6,4.00E-05,1.00E-05,Fake,,56,0.67822,0.54339,Real
7,0.0014,3.00E-05,Fake,,57,0.67822,0.54339,Real
8,0.00035,0.00024,Fake,,58,0.67822,0.54339,Real
9,0.00089,0.00408,Fake,,59,0.67822,0.54339,Real
10,0.00051,9.00E-05,Fake,,60,0.67822,0.54339,Real
11,5.00E-05,0.00022,Fake,,61,0.67822,0.54339,Real
12,0.00256,0.00244,Fake,,62,0.67822,0.54339,Real
13,0.00282,0.00146,Fake,,63,0.67822,0.54339,Real
14,0.00183,0.00173,Fake,,64,0.67822,0.54339,Real
15,0.00328,0.00074,Fake,,65,0.67822,0.54339,Real
16,2.00E-05,0.00048,Fake,,66,0.67822,0.54339,Real
17,1.00E-04,0.0013,Fake,,67,0.67822,0.54339,Real
18,2.00E-05,0.0012,Fake,,68,0.67822,0.54339,Real
19,0.00239,0.00017,Fake,,69,0.67822,0.54339,Real
20,4.00E-05,0.00032,Fake,,70,0.67822,0.54339,Real
21,0.00103,2.00E-04,Fake,,71,0.67822,0.54339,Real
22,0.00063,0.00246,Fake,,72,0.67822,0.54339,Real
23,0.00564,1.00E-04,Fake,,73,0.67822,0.54339,Real
24,0.00158,0.00124,Fake,,74,0.67822,0.54339,Real
25,0.00164,9.00E-05,Fake,,75,0.67822,0.54339,Real
26,0.00687,0.00018,Fake,,76,0.67822,0.54339,Real
27,2.00E-05,1.00E-05,Fake,,77,0.67822,0.54339,Real
28,0.00222,0.00137,Fake,,78,0.67822,0.54339,Real
29,0.00369,1.00E-04,Fake,,79,0.67822,0.54339,Real
30,8.00E-05,0.0015,Fake,,80,0.67822,0.54339,Real
31,2.00E-05,0.00031,Fake,,81,0.67822,0.54339,Real
32,0.00073,0.00302,Fake,,82,0.67822,0.54339,Real
33,0.00494,0.00075,Fake,,83,0.67822,0.54339,Real
34,1.00E-05,0.00157,Fake,,84,0.67822,0.54339,Real
35,0.00128,0.00109,Fake,,85,0.67822,0.54339,Real
36,0.00379,0.00029,Fake,,86,0.67822,0.54339,Real
37,0.00399,9.00E-04,Fake,,87,0.67822,0.54339,Real
38,1.00E-05,1.00E-05,Fake,,88,0.67822,0.54339,Real
39,0.00487,3.00E-05,Fake,,89,0.67822,0.54339,Real
40,0.02995,0.00055,Fake,,90,0.67822,0.54339,Real
41,0.00075,0.00479,Fake,,91,0.67822,0.54339,Real
42,0.00078,0.00014,Fake,,92,0.67822,0.54339,Real
43,0.00989,0.00134,Fake,,93,0.67822,0.54339,Real
44,0.00015,0.00026,Fake,,94,0.67822,0.54339,Real
45,0.00766,5.00E-05,Fake,,95,0.67822,0.54339,Real
46,0.0037,1.00E-05,Fake,,96,0.67822,0.54339,Real
47,0.00601,3.00E-04,Fake,,97,0.67822,0.54339,Real
48,0.00113,3.00E-05,Fake,,98,0.67822,0.54339,Real
49,0.00299,0.00212,Fake,,99,0.67822,0.54339,Real
50,0.01078,0.00013,Fake,,100,0.67822,0.54339,Real
51,0.67822,0.54339,Real,,,,,
52,0.67822,0.54339,Real,,,,,
53,0.67822,0.54339,Real,,,,,
54,0.67822,0.54339,Real,,,,,
55,0.67822,0.54339,Real,,,,,
56,0.67822,0.54339,Real,,,,,
57,0.67822,0.54339,Real,,,,,
58,0.67822,0.54339,Real,,,,,
59,0.67822,0.54339,Real,,,,,
60,0.67822,0.54339,Real,,,,,
61,0.67822,0.54339,Real,,,,,
62,0.67822,0.54339,Real,,,,,
63,0.67822,0.54339,Real,,,,,
64,0.67822,0.54339,Real,,,,,
65,0.67822,0.54339,Real,,,,,
66,0.67822,0.54339,Real,,,,,
67,0.67822,0.54339,Real,,,,,
68,0.67822,0.54339,Real,,,,,
69,0.67822,0.54339,Real,,,,,
70,0.67822,0.54339,Real,,,,,
71,0.67822,0.54339,Real,,,,,
72,0.67822,0.54339,Real,,,,,
73,0.67822,0.54339,Real,,,,,
74,0.67822,0.54339,Real,,,,,
75,0.67822,0.54339,Real,,,,,
76,0.67822,0.54339,Real,,,,,
77,0.67822,0.54339,Real,,,,,
78,0.67822,0.54339,Real,,,,,
79,0.67822,0.54339,Real,,,,,
80,0.67822,0.54339,Real,,,,,
81,0.67822,0.54339,Real,,,,,
82,0.67822,0.54339,Real,,,,,
83,0.67822,0.54339,Real,,,,,
84,0.67822,0.54339,Real,,,,,
85,0.67822,0.54339,Real,,,,,
86,0.67822,0.54339,Real,,,,,
87,0.67822,0.54339,Real,,,,,
88,0.67822,0.54339,Real,,,,,
89,0.67822,0.54339,Real,,,,,
90,0.67822,0.54339,Real,,,,,
91,0.67822,0.54339,Real,,,,,
92,0.67822,0.54339,Real,,,,,
93,0.67822,0.54339,Real,,,,,
94,0.67822,0.54339,Real,,,,,
95,0.67822,0.54339,Real,,,,,
96,0.67822,0.54339,Real,,,,,
97,0.67822,0.54339,Real,,,,,
98,0.67822,0.54339,Real,,,,,
99,0.67822,0.54339,Real,,,,,
100,0.67822,0.54339,Real,,,,,
