,R2,Q2,Label,,,R2,Q2,Label
1,0.00674,1.00E-05,Fake,,51,0.88851,0.72059,Real
2,0.00191,7.00E-05,Fake,,52,0.88851,0.72059,Real
3,0.00255,6.00E-05,Fake,,53,0.88851,0.72059,Real
4,0.00899,4.00E-05,Fake,,54,0.88851,0.72059,Real
5,0.00059,0.00109,Fake,,55,0.88851,0.72059,Real
6,0.00878,0.00079,Fake,,56,0.88851,0.72059,Real
7,0.00178,0.00303,Fake,,57,0.88851,0.72059,Real
8,0.00321,0.00091,Fake,,58,0.88851,0.72059,Real
9,0.00026,7.00E-05,Fake,,59,0.88851,0.72059,Real
10,0.00141,2.00E-04,Fake,,60,0.88851,0.72059,Real
11,0.00293,0.00058,Fake,,61,0.88851,0.72059,Real
12,0.00198,0.00339,Fake,,62,0.88851,0.72059,Real
13,0.00355,0.00013,Fake,,63,0.88851,0.72059,Real
14,0.0022,0.00188,Fake,,64,0.88851,0.72059,Real
15,5.00E-05,9.00E-05,Fake,,65,0.88851,0.72059,Real
16,0.00131,5.00E-05,Fake,,66,0.88851,0.72059,Real
17,1.00E-05,0.00026,Fake,,67,0.88851,0.72059,Real
18,0.00033,0.00398,Fake,,68,0.88851,0.72059,Real
19,0.00043,0.00605,Fake,,69,0.88851,0.72059,Real
20,0.00031,0.00023,Fake,,70,0.88851,0.72059,Real
21,0.00012,3.00E-05,Fake,,71,0.88851,0.72059,Real
22,5.00E-05,0.00305,Fake,,72,0.88851,0.72059,Real
23,0.00121,0.00047,Fake,,73,0.88851,0.72059,Real
24,0.00303,6.00E-05,Fake,,74,0.88851,0.72059,Real
25,0.00014,3.00E-05,Fake,,75,0.88851,0.72059,Real
26,0.00102,0.00023,Fake,,76,0.88851,0.72059,Real
27,2.00E-05,0.00071,Fake,,77,0.88851,0.72059,Real
28,1.00E-05,0.00013,Fake,,78,0.88851,0.72059,Real
29,0,0.00099,Fake,,79,0.88851,0.72059,Real
30,0.00297,3.00E-05,Fake,,80,0.88851,0.72059,Real
31,0.00032,0.00041,Fake,,81,0.88851,0.72059,Real
32,0.00165,4.00E-05,Fake,,82,0.88851,0.72059,Real
33,0.00046,1.00E-05,Fake,,83,0.88851,0.72059,Real
34,0.00461,0,Fake,,84,0.88851,0.72059,Real
35,0.00011,0.00129,Fake,,85,0.88851,0.72059,Real
36,0.00025,0.00039,Fake,,86,0.88851,0.72059,Real
37,9.00E-05,0.00026,Fake,,87,0.88851,0.72059,Real
38,0.00028,0.0014,Fake,,88,0.88851,0.72059,Real
39,0.00026,0.00229,Fake,,89,0.88851,0.72059,Real
40,0.00562,1.00E-05,Fake,,90,0.88851,0.72059,Real
41,0.00106,0.00019,Fake,,91,0.88851,0.72059,Real
42,0.00019,0.00011,Fake,,92,0.88851,0.72059,Real
43,0,0.00391,Fake,,93,0.88851,0.72059,Real
44,0.00436,0.0014,Fake,,94,0.88851,0.72059,Real
45,4.00E-05,0.00055,Fake,,95,0.88851,0.72059,Real
46,0.00274,0.00197,Fake,,96,0.88851,0.72059,Real
47,0.00717,0.00118,Fake,,97,0.88851,0.72059,Real
48,0.00045,0.00042,Fake,,98,0.88851,0.72059,Real
49,0.00015,0.00045,Fake,,99,0.88851,0.72059,Real
50,7.00E-05,0,Fake,,100,0.88851,0.72059,Real
