,R2,Q2,Label,,,R2,Q2,Label
1,0.00188,0.00301,Fake,,51,0.89694,0.71431,Real
2,1.00E-04,0.00185,Fake,,52,0.89694,0.71431,Real
3,0.00701,6.00E-05,Fake,,53,0.89694,0.71431,Real
4,0.00406,0.00214,Fake,,54,0.89694,0.71431,Real
5,2.00E-05,0.00128,Fake,,55,0.89694,0.71431,Real
6,0.00108,0.00028,Fake,,56,0.89694,0.71431,Real
7,3.00E-04,0.00092,Fake,,57,0.89694,0.71431,Real
8,0.00017,0.00084,Fake,,58,0.89694,0.71431,Real
9,0.00061,0.00052,Fake,,59,0.89694,0.71431,Real
10,0.00016,0.00046,Fake,,60,0.89694,0.71431,Real
11,0.00085,0.00311,Fake,,61,0.89694,0.71431,Real
12,0.01188,0.00011,Fake,,62,0.89694,0.71431,Real
13,0.00424,4.00E-04,Fake,,63,0.89694,0.71431,Real
14,0.00123,0,Fake,,64,0.89694,0.71431,Real
15,0.00092,0.00015,Fake,,65,0.89694,0.71431,Real
16,2.00E-04,0.00096,Fake,,66,0.89694,0.71431,Real
17,0.00092,0.00048,Fake,,67,0.89694,0.71431,Real
18,0.00193,0.00283,Fake,,68,0.89694,0.71431,Real
19,1.00E-04,0.00824,Fake,,69,0.89694,0.71431,Real
20,0.00034,0.00377,Fake,,70,0.89694,0.71431,Real
21,5.00E-05,0.00034,Fake,,71,0.89694,0.71431,Real
22,0.0036,0.00134,Fake,,72,0.89694,0.71431,Real
23,0.00052,1.00E-04,Fake,,73,0.89694,0.71431,Real
24,0.0036,0.00819,Fake,,74,0.89694,0.71431,Real
25,6.00E-04,0.00013,Fake,,75,0.89694,0.71431,Real
26,0.00063,0.00432,Fake,,76,0.89694,0.71431,Real
27,0.00523,0.00054,Fake,,77,0.89694,0.71431,Real
28,0.00145,0.00053,Fake,,78,0.89694,0.71431,Real
29,0.00029,1.00E-05,Fake,,79,0.89694,0.71431,Real
30,0.00046,4.00E-05,Fake,,80,0.89694,0.71431,Real
31,4.00E-05,0.00756,Fake,,81,0.89694,0.71431,Real
32,0,7.00E-05,Fake,,82,0.89694,0.71431,Real
33,0.01128,0.00046,Fake,,83,0.89694,0.71431,Real
34,9.00E-05,0.00215,Fake,,84,0.89694,0.71431,Real
35,0.00111,5.00E-05,Fake,,85,0.89694,0.71431,Real
36,3.00E-05,1.00E-05,Fake,,86,0.89694,0.71431,Real
37,0.00161,7.00E-05,Fake,,87,0.89694,0.71431,Real
38,6.00E-05,0.00211,Fake,,88,0.89694,0.71431,Real
39,0.00248,0.00021,Fake,,89,0.89694,0.71431,Real
40,6.00E-05,0.00269,Fake,,90,0.89694,0.71431,Real
41,0.00975,0.00043,Fake,,91,0.89694,0.71431,Real
42,0.0013,0.00351,Fake,,92,0.89694,0.71431,Real
43,0.00328,0.00058,Fake,,93,0.89694,0.71431,Real
44,0.00517,0.00072,Fake,,94,0.89694,0.71431,Real
45,0.00038,0.00106,Fake,,95,0.89694,0.71431,Real
46,3.00E-05,0.00079,Fake,,96,0.89694,0.71431,Real
47,7.00E-05,0,Fake,,97,0.89694,0.71431,Real
48,0.00643,0.00217,Fake,,98,0.89694,0.71431,Real
49,0.00013,0.00099,Fake,,99,0.89694,0.71431,Real
50,0.00059,3.00E-05,Fake,,100,0.89694,0.71431,Real
51,0.89694,0.71431,Real,,,,,
52,0.89694,0.71431,Real,,,,,
53,0.89694,0.71431,Real,,,,,
54,0.89694,0.71431,Real,,,,,
55,0.89694,0.71431,Real,,,,,
56,0.89694,0.71431,Real,,,,,
57,0.89694,0.71431,Real,,,,,
58,0.89694,0.71431,Real,,,,,
59,0.89694,0.71431,Real,,,,,
60,0.89694,0.71431,Real,,,,,
61,0.89694,0.71431,Real,,,,,
62,0.89694,0.71431,Real,,,,,
63,0.89694,0.71431,Real,,,,,
64,0.89694,0.71431,Real,,,,,
65,0.89694,0.71431,Real,,,,,
66,0.89694,0.71431,Real,,,,,
67,0.89694,0.71431,Real,,,,,
68,0.89694,0.71431,Real,,,,,
69,0.89694,0.71431,Real,,,,,
70,0.89694,0.71431,Real,,,,,
71,0.89694,0.71431,Real,,,,,
72,0.89694,0.71431,Real,,,,,
73,0.89694,0.71431,Real,,,,,
74,0.89694,0.71431,Real,,,,,
75,0.89694,0.71431,Real,,,,,
76,0.89694,0.71431,Real,,,,,
77,0.89694,0.71431,Real,,,,,
78,0.89694,0.71431,Real,,,,,
79,0.89694,0.71431,Real,,,,,
80,0.89694,0.71431,Real,,,,,
81,0.89694,0.71431,Real,,,,,
82,0.89694,0.71431,Real,,,,,
83,0.89694,0.71431,Real,,,,,
84,0.89694,0.71431,Real,,,,,
85,0.89694,0.71431,Real,,,,,
86,0.89694,0.71431,Real,,,,,
87,0.89694,0.71431,Real,,,,,
88,0.89694,0.71431,Real,,,,,
89,0.89694,0.71431,Real,,,,,
90,0.89694,0.71431,Real,,,,,
91,0.89694,0.71431,Real,,,,,
92,0.89694,0.71431,Real,,,,,
93,0.89694,0.71431,Real,,,,,
94,0.89694,0.71431,Real,,,,,
95,0.89694,0.71431,Real,,,,,
96,0.89694,0.71431,Real,,,,,
97,0.89694,0.71431,Real,,,,,
98,0.89694,0.71431,Real,,,,,
99,0.89694,0.71431,Real,,,,,
100,0.89694,0.71431,Real,,,,,
