,R2,Q2,Label,,,R2,Q2,Label
1,0.00078,0.00556,Fake,,51,0.89159,0.73774,Real
2,0.00741,5.00E-05,Fake,,52,0.89159,0.73774,Real
3,0.00022,2.00E-05,Fake,,53,0.89159,0.73774,Real
4,0.00306,0.00054,Fake,,54,0.89159,0.73774,Real
5,0.00013,0.00081,Fake,,55,0.89159,0.73774,Real
6,0.00194,8.00E-05,Fake,,56,0.89159,0.73774,Real
7,0,0.00228,Fake,,57,0.89159,0.73774,Real
8,0.0026,0.00016,Fake,,58,0.89159,0.73774,Real
9,0.002,1.00E-05,Fake,,59,0.89159,0.73774,Real
10,0.00119,0,Fake,,60,0.89159,0.73774,Real
11,0.00027,0.00447,Fake,,61,0.89159,0.73774,Real
12,0.00012,4.00E-05,Fake,,62,0.89159,0.73774,Real
13,0.00077,0.00029,Fake,,63,0.89159,0.73774,Real
14,0.00046,0.0026,Fake,,64,0.89159,0.73774,Real
15,0.00838,0.00116,Fake,,65,0.89159,0.73774,Real
16,7.00E-05,1.00E-04,Fake,,66,0.89159,0.73774,Real
17,0.01522,7.00E-05,Fake,,67,0.89159,0.73774,Real
18,0.00288,0.00937,Fake,,68,0.89159,0.73774,Real
19,0.00386,0.00082,Fake,,69,0.89159,0.73774,Real
20,0.00789,0.00131,Fake,,70,0.89159,0.73774,Real
21,0.00043,0.00256,Fake,,71,0.89159,0.73774,Real
22,0.00065,0.00229,Fake,,72,0.89159,0.73774,Real
23,0.00024,0,Fake,,73,0.89159,0.73774,Real
24,0.00196,0.00271,Fake,,74,0.89159,0.73774,Real
25,5.00E-05,0.0012,Fake,,75,0.89159,0.73774,Real
26,1.00E-05,0.00052,Fake,,76,0.89159,0.73774,Real
27,0.00149,0.00337,Fake,,77,0.89159,0.73774,Real
28,1.00E-05,0.00107,Fake,,78,0.89159,0.73774,Real
29,0.00187,0.00131,Fake,,79,0.89159,0.73774,Real
30,0,0,Fake,,80,0.89159,0.73774,Real
31,0.01066,5.00E-05,Fake,,81,0.89159,0.73774,Real
32,0.00271,0.00089,Fake,,82,0.89159,0.73774,Real
33,0.00084,0.00113,Fake,,83,0.89159,0.73774,Real
34,0.00352,0.00051,Fake,,84,0.89159,0.73774,Real
35,0.02394,0.00321,Fake,,85,0.89159,0.73774,Real
36,0.00077,2.00E-05,Fake,,86,0.89159,0.73774,Real
37,5.00E-05,2.00E-05,Fake,,87,0.89159,0.73774,Real
38,0.00164,1.00E-04,Fake,,88,0.89159,0.73774,Real
39,0.00048,0.00019,Fake,,89,0.89159,0.73774,Real
40,0.00074,7.00E-05,Fake,,90,0.89159,0.73774,Real
41,0.00077,4.00E-05,Fake,,91,0.89159,0.73774,Real
42,0.0057,1.00E-05,Fake,,92,0.89159,0.73774,Real
43,0.00128,0.00024,Fake,,93,0.89159,0.73774,Real
44,0.01317,0.00301,Fake,,94,0.89159,0.73774,Real
45,3.00E-05,0.00101,Fake,,95,0.89159,0.73774,Real
46,0.00013,0.00029,Fake,,96,0.89159,0.73774,Real
47,0.00248,0.00127,Fake,,97,0.89159,0.73774,Real
48,0.00128,0.00056,Fake,,98,0.89159,0.73774,Real
49,0.00716,0.00247,Fake,,99,0.89159,0.73774,Real
50,3.00E-05,0.00209,Fake,,100,0.89159,0.73774,Real
51,0.89159,0.73774,Real,,,,,
52,0.89159,0.73774,Real,,,,,
53,0.89159,0.73774,Real,,,,,
54,0.89159,0.73774,Real,,,,,
55,0.89159,0.73774,Real,,,,,
56,0.89159,0.73774,Real,,,,,
57,0.89159,0.73774,Real,,,,,
58,0.89159,0.73774,Real,,,,,
59,0.89159,0.73774,Real,,,,,
60,0.89159,0.73774,Real,,,,,
61,0.89159,0.73774,Real,,,,,
62,0.89159,0.73774,Real,,,,,
63,0.89159,0.73774,Real,,,,,
64,0.89159,0.73774,Real,,,,,
65,0.89159,0.73774,Real,,,,,
66,0.89159,0.73774,Real,,,,,
67,0.89159,0.73774,Real,,,,,
68,0.89159,0.73774,Real,,,,,
69,0.89159,0.73774,Real,,,,,
70,0.89159,0.73774,Real,,,,,
71,0.89159,0.73774,Real,,,,,
72,0.89159,0.73774,Real,,,,,
73,0.89159,0.73774,Real,,,,,
74,0.89159,0.73774,Real,,,,,
75,0.89159,0.73774,Real,,,,,
76,0.89159,0.73774,Real,,,,,
77,0.89159,0.73774,Real,,,,,
78,0.89159,0.73774,Real,,,,,
79,0.89159,0.73774,Real,,,,,
80,0.89159,0.73774,Real,,,,,
81,0.89159,0.73774,Real,,,,,
82,0.89159,0.73774,Real,,,,,
83,0.89159,0.73774,Real,,,,,
84,0.89159,0.73774,Real,,,,,
85,0.89159,0.73774,Real,,,,,
86,0.89159,0.73774,Real,,,,,
87,0.89159,0.73774,Real,,,,,
88,0.89159,0.73774,Real,,,,,
89,0.89159,0.73774,Real,,,,,
90,0.89159,0.73774,Real,,,,,
91,0.89159,0.73774,Real,,,,,
92,0.89159,0.73774,Real,,,,,
93,0.89159,0.73774,Real,,,,,
94,0.89159,0.73774,Real,,,,,
95,0.89159,0.73774,Real,,,,,
96,0.89159,0.73774,Real,,,,,
97,0.89159,0.73774,Real,,,,,
98,0.89159,0.73774,Real,,,,,
99,0.89159,0.73774,Real,,,,,
100,0.89159,0.73774,Real,,,,,
