"","R2","Q2","Label"
"1",1e-05,0.00271,"Fake"
"2",0.00042,2e-05,"Fake"
"3",0.00193,0.00015,"Fake"
"4",0.00014,3e-05,"Fake"
"5",0.00017,0.00022,"Fake"
"6",0.00578,0.00034,"Fake"
"7",0.00221,0.00025,"Fake"
"8",0.00327,0.00142,"Fake"
"9",0.01072,0.00032,"Fake"
"10",0,1e-05,"Fake"
"11",0.0027,0.00056,"Fake"
"12",0.00042,0.00027,"Fake"
"13",0.00078,0.0034,"Fake"
"14",8e-05,6e-05,"Fake"
"15",0.0014,0.00098,"Fake"
"16",0.00124,0.00101,"Fake"
"17",0.00164,0.00033,"Fake"
"18",0.00191,0.00131,"Fake"
"19",0.00207,0.00035,"Fake"
"20",0.00471,0.00039,"Fake"
"21",0.00022,3e-04,"Fake"
"22",0.00133,0.00174,"Fake"
"23",0.00051,4e-05,"Fake"
"24",1e-05,0.00028,"Fake"
"25",6e-05,1e-05,"Fake"
"26",0.00033,6e-05,"Fake"
"27",0.00052,0.00012,"Fake"
"28",0.00148,0.00033,"Fake"
"29",0.00788,0.00074,"Fake"
"30",0.0019,1e-05,"Fake"
"31",0.00061,0.00056,"Fake"
"32",7e-05,0.00172,"Fake"
"33",0,0.00038,"Fake"
"34",0.00028,0,"Fake"
"35",0,6e-05,"Fake"
"36",5e-05,0.00075,"Fake"
"37",5e-05,0,"Fake"
"38",0.01395,0.00121,"Fake"
"39",0.00227,0.0017,"Fake"
"40",0.00628,0.00016,"Fake"
"41",1e-05,0.00231,"Fake"
"42",0.00435,0,"Fake"
"43",0.00019,0.00262,"Fake"
"44",0.00036,1e-05,"Fake"
"45",0.00133,0.00127,"Fake"
"46",7e-05,0.00012,"Fake"
"47",0.00019,3e-05,"Fake"
"48",3e-05,0.00039,"Fake"
"49",7e-05,0.00244,"Fake"
"50",7e-05,0.00161,"Fake"
"51",0.91007,0.70307,"Real"
"52",0.91007,0.70307,"Real"
"53",0.91007,0.70307,"Real"
"54",0.91007,0.70307,"Real"
"55",0.91007,0.70307,"Real"
"56",0.91007,0.70307,"Real"
"57",0.91007,0.70307,"Real"
"58",0.91007,0.70307,"Real"
"59",0.91007,0.70307,"Real"
"60",0.91007,0.70307,"Real"
"61",0.91007,0.70307,"Real"
"62",0.91007,0.70307,"Real"
"63",0.91007,0.70307,"Real"
"64",0.91007,0.70307,"Real"
"65",0.91007,0.70307,"Real"
"66",0.91007,0.70307,"Real"
"67",0.91007,0.70307,"Real"
"68",0.91007,0.70307,"Real"
"69",0.91007,0.70307,"Real"
"70",0.91007,0.70307,"Real"
"71",0.91007,0.70307,"Real"
"72",0.91007,0.70307,"Real"
"73",0.91007,0.70307,"Real"
"74",0.91007,0.70307,"Real"
"75",0.91007,0.70307,"Real"
"76",0.91007,0.70307,"Real"
"77",0.91007,0.70307,"Real"
"78",0.91007,0.70307,"Real"
"79",0.91007,0.70307,"Real"
"80",0.91007,0.70307,"Real"
"81",0.91007,0.70307,"Real"
"82",0.91007,0.70307,"Real"
"83",0.91007,0.70307,"Real"
"84",0.91007,0.70307,"Real"
"85",0.91007,0.70307,"Real"
"86",0.91007,0.70307,"Real"
"87",0.91007,0.70307,"Real"
"88",0.91007,0.70307,"Real"
"89",0.91007,0.70307,"Real"
"90",0.91007,0.70307,"Real"
"91",0.91007,0.70307,"Real"
"92",0.91007,0.70307,"Real"
"93",0.91007,0.70307,"Real"
"94",0.91007,0.70307,"Real"
"95",0.91007,0.70307,"Real"
"96",0.91007,0.70307,"Real"
"97",0.91007,0.70307,"Real"
"98",0.91007,0.70307,"Real"
"99",0.91007,0.70307,"Real"
"100",0.91007,0.70307,"Real"
