,R2,Q2,Label,,R2,Q2,Label
1,0.01475,0.00251,Fake,51,0.73424,0.59898,Real
2,0.00014,7.00E-05,Fake,52,0.73424,0.59898,Real
3,0.00608,0.00073,Fake,53,0.73424,0.59898,Real
4,0.00205,4.00E-05,Fake,54,0.73424,0.59898,Real
5,5.00E-05,0.00068,Fake,55,0.73424,0.59898,Real
6,0.00397,5.00E-05,Fake,56,0.73424,0.59898,Real
7,0.00091,0.00023,Fake,57,0.73424,0.59898,Real
8,0.00569,0.00157,Fake,58,0.73424,0.59898,Real
9,0.00014,2.00E-05,Fake,59,0.73424,0.59898,Real
10,0.00093,0.00488,Fake,60,0.73424,0.59898,Real
11,0.00116,0.00138,Fake,61,0.73424,0.59898,Real
12,0.00027,0.00066,Fake,62,0.73424,0.59898,Real
13,9.00E-04,0.00026,Fake,63,0.73424,0.59898,Real
14,0.00027,0.00182,Fake,64,0.73424,0.59898,Real
15,0.00024,0.00268,Fake,65,0.73424,0.59898,Real
16,0.00059,0.00016,Fake,66,0.73424,0.59898,Real
17,0.00017,0.0022,Fake,67,0.73424,0.59898,Real
18,0.00237,1.00E-04,Fake,68,0.73424,0.59898,Real
19,0.00097,0.00086,Fake,69,0.73424,0.59898,Real
20,0.00084,0.00215,Fake,70,0.73424,0.59898,Real
21,0.00037,0.00415,Fake,71,0.73424,0.59898,Real
22,0.01782,0.00086,Fake,72,0.73424,0.59898,Real
23,0.00027,0.0014,Fake,73,0.73424,0.59898,Real
24,0.00328,0.00014,Fake,74,0.73424,0.59898,Real
25,0.00456,0.00044,Fake,75,0.73424,0.59898,Real
26,0.00178,0.00028,Fake,76,0.73424,0.59898,Real
27,0.00193,0.00409,Fake,77,0.73424,0.59898,Real
28,0.00148,0.00091,Fake,78,0.73424,0.59898,Real
29,0.00011,0.00044,Fake,79,0.73424,0.59898,Real
30,0,0.00048,Fake,80,0.73424,0.59898,Real
31,0.00056,0.00078,Fake,81,0.73424,0.59898,Real
32,0.00288,3.00E-05,Fake,82,0.73424,0.59898,Real
33,0.00713,0.00104,Fake,83,0.73424,0.59898,Real
34,0.00418,0.00042,Fake,84,0.73424,0.59898,Real
35,0.00111,6.00E-05,Fake,85,0.73424,0.59898,Real
36,3.00E-05,4.00E-05,Fake,86,0.73424,0.59898,Real
37,0.00127,0.00059,Fake,87,0.73424,0.59898,Real
38,0.00275,0.00106,Fake,88,0.73424,0.59898,Real
39,0.00012,0.00128,Fake,89,0.73424,0.59898,Real
40,0,0.00574,Fake,90,0.73424,0.59898,Real
41,0.00296,0.00102,Fake,91,0.73424,0.59898,Real
42,0.00149,0.00042,Fake,92,0.73424,0.59898,Real
43,0.00037,0.00037,Fake,93,0.73424,0.59898,Real
44,0.00434,0.00025,Fake,94,0.73424,0.59898,Real
45,0.00219,0.00015,Fake,95,0.73424,0.59898,Real
46,0.01134,6.00E-05,Fake,96,0.73424,0.59898,Real
47,0.00971,2.00E-04,Fake,97,0.73424,0.59898,Real
48,0.01465,0.00253,Fake,98,0.73424,0.59898,Real
49,0.00293,0.00069,Fake,99,0.73424,0.59898,Real
50,0.00736,0.00051,Fake,100,0.73424,0.59898,Real
